Race,Year,Cutoff,Place,First,Last,City,Location,Age,Gender,GP,Time,Rank
IMTUF,2020,36,1,Jason,Schlarb,Durango,CO,42,M,1,20:10:11,94.25
IMTUF,2020,36,2,Dakota,Jones,Bozeman,MT,29,M,2,21:12:17,95
IMTUF,2020,36,3,Richard,Lockwood,Seattle,WA,33,M,3,21:26:46,89.11
IMTUF,2020,36,4,Paul,Weeks,Seattle,WA,31,M,4,23:27:14,92.92
IMTUF,2020,36,5,David,Hoff,Golden,CO,30,M,5,24:21:14,82.05
IMTUF,2020,36,6,Emily,Hawgood,Beatrice,ZW,26,F,1,25:10:03,95.14
IMTUF,2020,36,7,Anthony,Lee,Boulder,CO,26,M,6,25:14:16,84.91
IMTUF,2020,36,8,Bentley,Regehr,Mammoth Lakes,CA,28,M,7,25:19:12,84.54
IMTUF,2020,36,9,Masazumi,Fujioka,Mill Creek,WA,48,M,8,25:39:13,86.94
IMTUF,2020,36,10,Luke,Garten,Grass Valley,CA,37,M,9,25:47:38,91.3
IMTUF,2020,36,11,Katie,Asmuth,Culver City,CA,34,F,2,25:49:04,96.86
IMTUF,2020,36,12,Brian,Ciuchta,Lakeside,CA,35,M,10,25:52:54,82.89
IMTUF,2020,36,13,Darce,Claus,Bonners Ferry,ID,49,F,3,26:11:26,95.29
IMTUF,2020,36,14,Loren,Davis,Bozeman,MT,28,M,11,26:18:46,83.67
IMTUF,2020,36,15,Jose,Cervantes,Boise,ID,49,M,12,26:27:23,83.89
IMTUF,2020,36,16,Douglas,Lewis,Kamas,UT,56,M,13,26:46:18,78.69
IMTUF,2020,36,17,Whitney,Mickelsen,Salt Lake City,UT,30,F,4,26:49:18,93.83
IMTUF,2020,36,18,Michael,Postaski,Boise,ID,38,M,14,27:15:10,96.53
IMTUF,2020,36,19,Megan,Bowen,Bozeman,MT,33,F,5,27:47:14,88.3
IMTUF,2020,36,20,Eric,Berry,Bozeman,MT,31,M,15,27:53:48,82.73
IMTUF,2020,36,21,Dustin,Simoens,Gunnison,CO,32,M,16,28:00:54,91.37
IMTUF,2020,36,22,Nathan,Morgan,Boise,ID,26,M,17,28:13:37,86.58
IMTUF,2020,36,23,Mike,Lavery,Bozeman,MT,35,M,18,28:19:11,88.93
IMTUF,2020,36,24,David,Yousling,Bonners Ferry,ID,38,M,19,28:19:20,84.14
IMTUF,2020,36,25,Jeremy,Greene,Arlington,WA,45,M,20,28:21:06,82.49
IMTUF,2020,36,26,Mark,Eury,Golden,CO,43,M,21,28:21:37,73.02
IMTUF,2020,36,27,Nick,CliffOrr,Boise,ID,26,M,22,29:00:10,79.72
IMTUF,2020,36,28,Delilah,Carden,Ketchum,ID,32,F,6,29:09:55,86.57
IMTUF,2020,36,29,Nathan,Sustersic,Portland,OR,39,M,23,29:12:06,80.41
IMTUF,2020,36,30,Montana,Bartschi,Salmon,ID,31,M,24,29:36:23,86.38
IMTUF,2020,36,31,Philip,Brundage,Portland,OR,42,M,25,29:42:56,75.07
IMTUF,2020,36,32,Austin,Mallet,Bozeman,MT,28,M,26,29:43:24,80.77
IMTUF,2020,36,33,Jake,Kilgore,Fruit Heights,UT,41,M,27,30:01:14,70.05
IMTUF,2020,36,34,Derek,Kanwischer,Missoula,MT,45,M,28,30:19:46,83.55
IMTUF,2020,36,35,Mike,Bielemeier,Bend,OR,36,M,29,30:24:29,78.51
IMTUF,2020,36,36,Peter,Knox,Meridian,ID,47,M,30,30:35:09,75.93
IMTUF,2020,36,37,Dirk,Renner,Bend,OR,46,M,31,30:38:25,75.54
IMTUF,2020,36,38,Christopher,Whitestone,Denver,CO,40,M,32,30:39:01,71.2
IMTUF,2020,36,39,Jameson,Clover,Portland,OR,40,F,7,30:46:44,89.16
IMTUF,2020,36,40,Angela,Shartel,San Diego,CA,46,F,8,30:56:34,95.25
IMTUF,2020,36,41,Davis,Hackman,Bellingham,WA,27,M,33,31:01:08,80.22
IMTUF,2020,36,42,Terry,Conover,Sandy,UT,43,M,34,31:30:36,71.61
IMTUF,2020,36,43,Chris,Lenington,Boise,ID,34,M,35,31:31:03,78.07
IMTUF,2020,36,44,Kedric,Osborne,Klamath Falls,OR,43,M,36,31:33:13,86.54
IMTUF,2020,36,45,Tyler,Dschaak,Colorado Springs,CO,36,M,37,31:52:42,61.16
IMTUF,2020,36,46,Kyle,Blasch,Boise,ID,49,M,38,31:59:05,75.36
IMTUF,2020,36,47,Tate,Cowley,Garden City,ID,27,M,39,32:01:43,81.49
IMTUF,2020,36,48,Cree,Maloney,Libby,MT,27,M,40,32:24:26,65.71
IMTUF,2020,36,49,Eric,Martin,Corvallis,OR,44,M,41,32:28:57,79
IMTUF,2020,36,50,Simon,Roberts,Morrison,CO,33,M,42,32:29:35,68.73
IMTUF,2020,36,51,Matthew,Hagenah,Boise,ID,48,M,43,32:31:14,74.58
IMTUF,2020,36,52,Robert,Elliott,Boise,ID,31,M,44,32:46:18,72.16
IMTUF,2020,36,53,Lucas,Reece,Moscow,ID,44,M,45,32:51:54,58.44
IMTUF,2020,36,54,Patrick,Oneill,Crested Butte,CO,56,M,46,33:19:10,61.81
IMTUF,2020,36,55,Kallie,Smith,Missoula,MT,34,F,9,33:23:17,75.38
IMTUF,2020,36,56,Seth,McDowell,Boise,ID,41,M,47,33:30:06,72.93
IMTUF,2020,36,57,Derek,Call,Caldwell,ID,43,M,48,33:42:00,69.79
IMTUF,2020,36,58,Sierra,Degroff,Las Vegas,NV,29,F,10,33:45:32,78.58
IMTUF,2020,36,59,Christiana,Rugloski,West Columbia,TX,23,F,11,33:48:19,90.33
IMTUF,2020,36,60,Tony,Huff,Boise,ID,53,M,49,33:56:27,74.02
IMTUF,2020,36,61,Andrew,Althauser,Missoula,MT,44,M,50,34:02:19,60.62
IMTUF,2020,36,62,Geoff,Smith,Aurora,CO,40,M,51,34:06:42,63.85
IMTUF,2020,36,63,Alpert,Rufin,Chicago,IL,41,M,52,34:07:37,70.68
IMTUF,2020,36,64,Liem,Vuong,San Francisco,CA,36,M,53,34:08:28,59.82
IMTUF,2020,36,65,Mindy,Coolman,Omaha,NE,38,F,12,34:09:10,87.89
IMTUF,2020,36,66,Pam,Reed,Jackson,WY,59,F,13,34:17:01,84.64
